-26.0120675490429,-26.0120675490429,-26.0120675490429,-26.0120675490429,-26.0120675490429,-26.0120675490429
-26.0120678692091,-26.0120683187861,-26.0120667792996,-26.0120672288766,-26.0120679986199,-26.0120670994658
-26.0120701103726,-26.0120737069888,-26.0120613910965,-26.0120649877127,-26.0120711456588,-26.0120639524264
-26.0120761935285,-26.0120883321085,-26.0120467659718,-26.0120589045511,-26.0120796876194,-26.0120554104601
-26.0120880396653,-26.0121168125967,-26.012018285458,-26.0120470583856,-26.0120963219548,-26.0120387760957
-26.0121075697572,-26.0121637668927,-26.0119713310749,-26.0120275281953,-26.0121237461036,-26.0120113518476
-26.0121367047535,-26.0122338134131,-26.0119012843198,-26.0119983929345,-26.0121646574791,-26.0119704402048
-26.0121773655643,-26.0123315705402,-26.011803526656,-26.0119577315184,-26.0122217534554,-26.0119133436171
-26.0122314730441,-26.0124616566068,-26.0116734394968,-26.0119036228065,-26.0122977313501,-26.0118373644778
-26.0123009479718,-26.0126286898786,-26.0115064041888,-26.0118341455827,-26.0123952884046,-26.0117398051039
-26.0123877110273,-26.0128372885338,-26.0112978019908,-26.0117473785319,-26.0125171217602,-26.0116179677126
-26.0124936827659,-26.0130920706398,-26.011043014051,-26.0116414002146,-26.0126659284324,-26.0114691543951
-26.0126207835887,-26.0133976541275,-26.0107374213809,-26.0115142890368,-26.012844405281,-26.0112906670868
-26.0127709337109,-26.0137586567627,-26.010376404827,-26.0113641232187,-26.0130552489778,-26.0110798075351
-26.0129460531259,-26.0141796961149,-26.0099553450393,-26.0111889807587,-26.0133011559708,-26.0108338772638
-26.0131480615673,-26.0146653895231,-26.0094696224371,-26.0109869393954,-26.0135848224454,-26.0105501775341
-26.0133788784674,-26.015220354059,-26.0089146171725,-26.0107560765661,-26.0139089442828,-26.0102260093025
-26.0136404229126,-26.0158492064882,-26.0082857090911,-26.0104944693622,-26.0142762170149,-26.0098586731765
-26.013934613596,-26.016556563227,-26.0075782776889,-26.0102001944818,-26.0146893357759,-26.0094454693661
-26.0142633687666,-26.0173470402988,-26.0067877020685,-26.0098713281787,-26.015150995252,-26.0089836976324
-26.0146286061756,-26.0182252532852,-26.0059093608903,-26.009505946209,-26.0156638896262,-26.0084706572341
-26.0150322430198,-26.019195817277,-26.0049386323228,-26.0091021237742,-26.0162307125218,-26.0079036468692
-26.0154761958814,-26.0202633468203,-26.003870893989,-26.0086579354614,-26.0168541569411,-26.0072799646151
-26.0159623806655,-26.0214324558612,-26.0027015229109,-26.0081714551802,-26.0175369152028,-26.006596907865
-26.0164927125339,-26.0227077576876,-26.0014258954501,-26.0076407560968,-26.0182816788747,-26.0058517732608
-26.0170691058358,-26.0240938648678,-26.0000393872471,-26.007063910565,-26.019091138704,-26.0050418566236
-26.01769315402,-26.0255946195766,-25.9985381430329,-26.0064393103699,-26.0199675351194,-26.0041649026092
-26.0183651696533,-26.0272107848246,-25.996921386318,-26.0057666277447,-26.0209113100224,-26.0032204539622
-26.0190851446787,-26.0289423534749,-25.995189109949,-26.0050458546312,-26.0219224552758,-26.0022085025416
-26.0198530704639,-26.0307893178817,-25.9933413062603,-26.0042769823955,-26.0230009621613,-26.0011290396245
-26.020668937801,-26.032751669891,-25.991377967074,-26.0034600018277,-26.0241468213794,-25.9999820559064
-26.0215327369072,-26.0348294008404,-25.9892990836997,-26.0025949031426,-26.0253600230502,-25.9987675415007
-26.0224444574238,-26.0370225015598,-25.9871046469341,-26.0016816759788,-26.0266405567127,-25.9974854859391
